"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"5397",9192,10006590,"DE",2,47,510,20,120,5,60,4,3,8,2,2,4,7,3,1969
"5398",9193,10006605,"DE",1,34,520,16,30,5,30,3,4,3,2,2,2,4,2,1982
"5399",9198,10006629,"DE",1,39,720,21,60,5,360,8,7,7,6,6,7,8,4,1977
"5400",9199,10006638,"DE",1,62,720,16,60,5,90,6,6,6,6,6,5,5,2,1954
"5401",9200,10006641,"DE",1,31,520,14,30,5,120,2,8,10,1,5,2,5,8,1986
"5402",9201,10006642,"DE",1,75,520,13,270,5,60,5,5,8,3,3,2,3,5,1941
"5403",9202,10006643,"DE",1,37,322,13,240,5,300,5,6,10,4,4,3,7,7,1980
"5404",9205,10006664,"DE",2,29,720,22,30,5,300,2,2,5,1,2,3,3,6,1987
"5405",9206,10006666,"DE",1,56,720,21,60,5,45,7,7,7,6,6,7,6,3,1960
"5406",9208,10006680,"DE",1,34,322,14,30,5,180,4,4,5,3,3,4,5,4,1982
"5407",9209,10006683,"DE",1,45,520,15,30,5,120,7,7,8,7,7,7,7,0,1971
"5408",9210,10006688,"DE",2,54,720,16,20,5,90,8,7,7,4,3,2,4,6,1962
"5409",9211,10006691,"DE",2,26,710,19,70,5,660,7,9,10,7,4,8,5,5,1990
"5410",9212,10006694,"DE",2,36,720,20,30,5,120,7,9,7,6,6,7,6,5,1980
"5411",9213,10006698,"DE",2,49,422,20,60,5,150,8,10,8,5,7,7,7,5,1967
"5412",9215,10006707,"DE",2,28,610,19,30,5,30,7,7,9,7,7,7,5,3,1989
"5413",9216,10006722,"DE",2,20,423,14,15,5,240,7,6,8,6,7,8,7,7,1996
"5414",9217,10006724,"DE",1,41,610,13,60,5,180,6,5,7,6,4,5,6,3,1975
"5415",9218,10006726,"DE",1,47,720,17,60,5,360,7,6,6,3,3,4,6,4,1969
"5416",9219,10006728,"DE",1,34,610,19,60,5,120,7,8,6,7,6,7,7,4,1982
